"HH1","HH2","UF4","Index_Birth_Registered_R","Index_Disabled_Child_R","Index_Mother_Disabled_R","Birth_of_Child_not_wanted","Disability_Dummy_Ref","Religion_Belief_Dummy","Ethnic_Immigration_Dummy","Sex_Dummy","Sexual_Orientation_Dummy","Age_Dummy","Other_Reason_Dummy","level_of_education_mother_r","Mother_Health_Insurance","HouseHead_Religiosity_R","family_economic_status"
28,1,7,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
28,1,7,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
28,1,4,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
28,1,4,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
28,11,5,1,NA,0,0,0,0,1,1,0,0,0,0,1,1,2
28,11,5,1,NA,0,NA,0,1,1,1,0,0,0,NA,NA,1,2
28,14,4,1,0,0,NA,0,1,1,0,0,0,0,0,1,1,1
28,3,2,1,0,1,0,0,0,0,0,0,0,0,NA,1,1,1
28,3,2,1,NA,1,0,0,0,0,0,0,0,0,NA,1,1,1
28,4,3,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
28,4,3,1,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
28,5,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA
28,5,6,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
28,7,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
28,7,4,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,NA
29,1,2,1,NA,0,0,0,1,1,0,0,0,0,0,1,1,NA
29,10,4,1,NA,0,1,0,0,0,0,0,0,1,NA,1,1,NA
29,10,4,1,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
29,10,4,1,0,0,1,0,0,0,0,0,0,1,NA,1,1,NA
29,10,4,1,0,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
29,12,4,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,NA
29,2,4,1,NA,0,NA,0,0,0,0,0,0,0,0,1,1,NA
29,2,4,1,NA,0,0,0,1,1,1,0,1,0,1,1,1,NA
29,21,2,1,NA,0,NA,0,0,0,0,0,0,0,NA,NA,1,NA
29,21,2,1,NA,0,0,0,0,0,0,0,0,0,0,1,1,NA
29,21,2,1,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,1,NA
3,11,2,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,0
3,11,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,0
3,11,2,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,0
3,11,2,1,0,0,NA,0,0,0,0,0,0,0,0,1,1,0
3,11,5,1,0,1,NA,0,0,0,0,0,0,0,1,1,1,0
3,11,5,1,0,1,NA,0,0,0,0,0,0,0,0,1,1,0
3,13,2,1,1,1,NA,0,0,1,0,0,0,0,0,1,1,NA
3,13,2,1,1,1,NA,0,0,1,0,0,0,0,1,1,1,NA
3,14,2,1,NA,1,1,0,0,0,0,0,0,0,NA,1,1,0
3,16,3,1,0,0,NA,0,0,1,0,0,0,0,0,1,1,NA
3,16,3,1,0,0,NA,0,0,1,0,0,0,1,1,1,1,NA
3,16,3,1,0,0,NA,0,0,1,0,0,0,0,0,1,1,NA
3,16,3,1,0,0,NA,0,0,1,0,0,0,1,1,1,1,NA
3,17,2,1,NA,1,0,0,0,0,0,0,0,0,1,1,1,1
